nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
        59,-3.000000054E-01,-3.454545474E-01, 1.249999956E-01, 1.276919065E-01, 2.886701991E-03,-3.990504899E-03, 2.286130852E+00
        60,-1.500000057E-01,-3.454545506E-01, 1.249999993E-01, 1.278619535E-01, 4.695279923E-03,-9.476719505E-03, 2.302520734E+00
        61,-1.292368990E-15,-3.454545506E-01, 1.249999968E-01, 1.278854655E-01, 5.787985474E-03,-1.343440785E-02, 2.333190173E+00
        62, 1.500000041E-01,-3.454545480E-01, 1.249999959E-01, 1.278502930E-01, 4.855901009E-03,-9.427034205E-03, 2.364207698E+00
        63, 3.000000054E-01,-3.454545474E-01, 1.249999956E-01, 1.278757485E-01, 2.807073869E-03,-3.021169340E-03, 2.379558335E+00
        64, 4.499999921E-01,-3.454545583E-01, 1.249999996E-01, 1.279692825E-01, 1.257918085E-03, 5.099805556E-04, 2.381831663E+00
        65, 6.000000172E-01,-3.454545506E-01, 1.249999968E-01, 1.281095355E-01, 5.650446753E-04, 1.573383549E-03, 2.378770534E+00
        66, 7.500000194E-01,-3.454545506E-01, 1.249999965E-01, 1.282817920E-01, 4.124049375E-04, 1.450778798E-03, 2.374591849E+00
        67, 8.999999860E-01,-3.454545586E-01, 1.249999995E-01, 1.284798079E-01, 4.797320616E-04, 9.296233000E-04, 2.370953895E+00
        68, 1.049999886E+00,-3.454545429E-01, 1.249999940E-01, 1.287029596E-01, 5.877560898E-04, 3.638389595E-04, 2.368226255E+00
        69, 1.200000032E+00,-3.454545506E-01, 1.249999968E-01, 1.289525973E-01, 6.713834289E-04,-1.400784171E-04, 2.366263627E+00
        70, 1.350000032E+00,-3.454545493E-01, 1.249999961E-01, 1.292321041E-01, 7.199220544E-04,-5.755438965E-04, 2.364850444E+00
        71, 1.499999971E+00,-3.454545345E-01, 1.249999909E-01, 1.295461961E-01, 7.413245248E-04,-9.601180327E-04, 2.363809458E+00
        72, 1.649999926E+00,-3.454545506E-01, 1.249999968E-01, 1.299005120E-01, 7.437462855E-04,-1.314965488E-03, 2.363009494E+00
        73, 1.799999931E+00,-3.454545506E-01, 1.249999968E-01, 1.302995479E-01, 7.359611444E-04,-1.656483033E-03, 2.362348850E+00
        74, 1.950000047E+00,-3.454545493E-01, 1.249999961E-01, 1.307473796E-01, 7.249928073E-04,-1.994656566E-03, 2.361756108E+00
        75, 2.099999954E+00,-3.454545532E-01, 1.249999977E-01, 1.312465294E-01, 7.150869107E-04,-2.336138206E-03, 2.361174061E+00
        76, 2.250000011E+00,-3.454545429E-01, 1.249999940E-01, 1.317966482E-01, 7.105529209E-04,-2.683405224E-03, 2.360553231E+00
        77,-4.499999921E-01,-3.272727395E-01, 1.249999996E-01, 1.274523952E-01, 1.679358738E-03,-1.777304604E-03, 2.279720456E+00
        78,-3.000000054E-01,-3.272727291E-01, 1.249999956E-01, 1.277031906E-01, 2.962240294E-03,-5.255852635E-03, 2.285548122E+00
        79,-1.500000057E-01,-3.272727321E-01, 1.249999993E-01, 1.278850751E-01, 4.887935192E-03,-1.270399786E-02, 2.301585837E+00
        80,-1.501403168E-15,-3.272727321E-01, 1.249999968E-01, 1.279101824E-01, 6.064806178E-03,-1.823393170E-02, 2.333106394E+00
        81, 1.500000041E-01,-3.272727297E-01, 1.249999959E-01, 1.278709094E-01, 5.045538287E-03,-1.265897760E-02, 2.365083824E+00
