nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
        92, 1.799999875E+00,-3.272727224E-01, 0.000000000E+00, 1.678457035E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        93, 1.950000054E+00,-3.272727321E-01, 0.000000000E+00, 1.678904761E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        94, 2.099999954E+00,-3.272727346E-01, 0.000000000E+00, 1.679534339E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        95, 2.250000061E+00,-3.272727321E-01, 0.000000000E+00, 1.680308290E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        96,-4.499999820E-01,-3.090909137E-01, 0.000000000E+00, 1.652308719E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        97,-3.000000072E-01,-3.090909137E-01, 0.000000000E+00, 1.656020729E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        98,-1.500000050E-01,-3.090909137E-01, 0.000000000E+00, 1.669398039E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        99, 8.257283746E-16,-3.090909137E-01, 0.000000000E+00, 1.693407533E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       100, 1.500000033E-01,-3.090909091E-01, 0.000000000E+00, 1.706839614E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       101, 3.000000072E-01,-3.090909137E-01, 0.000000000E+00, 1.702038317E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       102, 4.499999820E-01,-3.090909137E-01, 0.000000000E+00, 1.693735859E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       103, 5.999999973E-01,-3.090909045E-01, 0.000000000E+00, 1.687715806E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       104, 7.500000434E-01,-3.090909229E-01, 0.000000000E+00, 1.683883784E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       105, 8.999999640E-01,-3.090909137E-01, 0.000000000E+00, 1.681511329E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       106, 1.049999909E+00,-3.090909137E-01, 0.000000000E+00, 1.680152686E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       107, 1.200000069E+00,-3.090909229E-01, 0.000000000E+00, 1.679375781E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       108, 1.350000037E+00,-3.090909137E-01, 0.000000000E+00, 1.679171523E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       109, 1.500000042E+00,-3.090909137E-01, 0.000000000E+00, 1.679385525E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       110, 1.649999926E+00,-3.090909137E-01, 0.000000000E+00, 1.679798813E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       111, 1.799999875E+00,-3.090909045E-01, 0.000000000E+00, 1.680468803E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       112, 1.950000054E+00,-3.090909137E-01, 0.000000000E+00, 1.681361652E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       113, 2.099999954E+00,-3.090909160E-01, 0.000000000E+00, 1.682442932E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       114, 2.250000061E+00,-3.090909137E-01, 0.000000000E+00, 1.683651299E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       115,-4.499999820E-01,-2.909090952E-01, 0.000000000E+00, 1.651974345E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       116,-3.000000072E-01,-2.909090952E-01, 0.000000000E+00, 1.655171577E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       117,-1.500000050E-01,-2.909090952E-01, 0.000000000E+00, 1.668563889E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       118, 1.242062009E-15,-2.909090952E-01, 0.000000000E+00, 1.694687552E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       119, 1.500000033E-01,-2.909090909E-01, 0.000000000E+00, 1.708460321E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       120, 3.000000072E-01,-2.909090952E-01, 0.000000000E+00, 1.702280170E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       121, 4.499999820E-01,-2.909090952E-01, 0.000000000E+00, 1.693522400E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       122, 5.999999973E-01,-2.909090866E-01, 0.000000000E+00, 1.687544619E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       123, 7.500000434E-01,-2.909091039E-01, 0.000000000E+00, 1.683896699E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       124, 8.999999640E-01,-2.909090952E-01, 0.000000000E+00, 1.681788232E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
       125, 1.049999909E+00,-2.909090952E-01, 0.000000000E+00, 1.680750202E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
