nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
       416, 1.950000082E+00,-3.163587867E-17, 1.978947397E-01, 2.383648263E-01,-2.280907562E-02, 1.522465348E-02, 2.211630106E+00
       417, 2.099999938E+00,-3.204673343E-17, 1.978947368E-01, 2.309793371E-01,-2.232204267E-02, 1.305056899E-02, 2.231130034E+00
       418, 2.250000061E+00,-3.245758932E-17, 1.978947368E-01, 2.242751519E-01,-2.190371425E-02, 1.126356776E-02, 2.247929664E+00
       419,-4.499999820E-01,-3.489989747E-17, 2.147368425E-01, 1.050111723E-01, 2.261485072E-03,-3.426009874E-04, 2.441302662E+00
       420,-3.000000072E-01,-3.592703618E-17, 2.147368425E-01, 1.057759691E-01, 7.091911487E-03,-6.688407459E-04, 2.434516687E+00
       421,-1.500000033E-01,-3.695417453E-17, 2.147368393E-01, 1.079534820E-01, 4.221638811E-02,-1.857906265E-03, 2.396199929E+00
       422,-1.058181320E-15,-3.798131400E-17, 2.147368425E-01, 1.370027284E-01, 2.564662152E-01, 1.234459364E-02, 2.284858697E+00
       423, 1.500000033E-01,-3.900845234E-17, 2.147368393E-01, 1.960182230E-01, 3.737966526E-02, 6.178320680E-02, 1.991309386E+00
       424, 3.000000072E-01,-4.003559182E-17, 2.147368425E-01, 2.424008301E-01,-2.200489260E-02, 7.299472463E-02, 1.945434045E+00
       425, 4.499999820E-01,-4.106273053E-17, 2.147368425E-01, 2.712375312E-01,-3.981681797E-02, 6.715505849E-02, 1.984537145E+00
       426, 5.999999973E-01,-4.208986839E-17, 2.147368361E-01, 2.861089119E-01,-4.314219022E-02, 5.723426447E-02, 2.034525494E+00
       427, 7.500000434E-01,-4.311700985E-17, 2.147368489E-01, 2.907902762E-01,-4.121332590E-02, 4.793251317E-02, 2.081204136E+00
       428, 8.999999640E-01,-4.414414706E-17, 2.147368425E-01, 2.887981020E-01,-3.827325860E-02, 4.000958575E-02, 2.122177496E+00
       429, 1.049999909E+00,-4.517128557E-17, 2.147368425E-01, 2.828794392E-01,-3.573865664E-02, 3.352173040E-02, 2.157625069E+00
       430, 1.200000069E+00,-4.619842669E-17, 2.147368489E-01, 2.749892768E-01,-3.382104965E-02, 2.817571981E-02, 2.188339140E+00
       431, 1.350000037E+00,-4.722556422E-17, 2.147368425E-01, 2.662741656E-01,-3.224570040E-02, 2.380968510E-02, 2.214906958E+00
